COMPANY NAME,INDUSTRY,MARKET SIZE,COUNTRY,COMPANY SIZE,FUNDED YEAR,SHUTDOWN YEAR,YEARS ACTIVE,TOTAL FUNDING,FUNDING ROUNDS,LAST FUNDING STAGE,FINAL FUNDING ,# FOUNDERS,FOUNDER NAMES,FOUNDERS LEFT,KEY EXEC DEPARTURE,OFFICIAL CAUSE (DETAILED),MAIN CAUSE
WeWork,Real Estate,$7B,USA,"14,000",2010,2023,13,$12.9B,21,Debt ,$3B,2,"Adam Neumann, Miguel McKelvey",Adam Neumann,Neumann ousted,Chapter 11 bankruptcy - $19B lease obligations vs $4B revenue; 90% occupancy unsustainable forbes,Bankruptcy
Theranos,Biotech,$39B,USA,800,2003,2018,15,$945M,7,Series D ,$100M,1,Elizabeth Holmes,-,Sunny Balwani,Criminal fraud charges - Blood testing device never worked; SEC fined $500K britannica,Fraud
Quibi,Streaming,$50B,USA,400,2018,2020,2,$1.75B,2,Series A ,$1.75B,2,"Katzenberg, Whitman",-,-,Criminal fraud charges - Blood testing device never worked; SEC fined $500K britannica,No users
Jawbone,Wearables,$50B,USA,350,1999,2017,18,$930M,9,Series E ,$120M,1,Hosain Rahman,-,-,Debt default - Missed $22M interest payment on $125M convertible debt wikipedia,Debt
FTX,Crypto,$32T,Bahamas,"1,300",2019,2022,3,$1.8B,5,Series B ,$900M,1,Sam Bankman-Fried,-,-,$8B customer fund shortfall - Bankruptcy revealed commingled funds with Alameda Research,Fraud
Wirecard,Fintech,$2T,Germany,"1,500",1999,2020,21,$1.9B,Public,IPO ,,2,"Marsalek, Braun",Marsalek,CEO resigned,"€1.9B ""missing"" from balance sheet - Auditor EY refused to sign off; CEO fled",Fraud
Zenefits,HR Tech,$200B,USA,"1,200",2013,2022,9,$584M,6,Series C ,$150M,2,"Conrad, Huang",Parker Conrad,CEO resigned,SEC compliance violation - Sold insurance without licensed brokers; $500K fine,Regulation
Katerra,Construction,$1T,USA,"4,000",2015,2021,6,$2B,8,Series E ,$800M,2,"Klein, Shigemitsu",-,-,Supply chain collapse - Missed $200M vendor payments; Chapter 11 marketrealist,Supply chain
Argo AI,Autonomous,$400B,USA,"1,800",2016,2022,6,$2.6B,4,Corp round,,2,"Salesky, Burns",-,-,Ford/VW strategic pivot - Self-driving too expensive vs robotaxi economics marketrealist,Strategy
Zume Pizza,Food Tech,$100B,USA,"1,600",2015,2020,5,$482M,6,Series D ,$375M,1,Alex Garden,-,-,Unit economics failure - $17/pizza robot cost vs $12 market price marketrealist,Economics
Juicero,Consumer,$10B,USA,70,2013,2017,4,$120M,4,Series B ,$30M,1,Tom Zimerman,-,-,Product viability failure - $700 juicer obsolete; bags squeeze by hand tech,Product
MoviePass,Media,$50B,USA,200,2011,2019,8,$68M,5,Late ,$30M,2,"Spikes, Strenger",-,CEO resigned,$1.5B losses on $10/month subs - Helium parent company bankruptcy tech,Cash burn
Homejoy,Services,$200B,USA,140,2010,2015,5,$40M,3,Series A ,$20M,1,Adora Cheung,-,-,"Class-action lawsuits - 5,056 cleaner lawsuits for employee misclassification tech",Lawsuits
Beepi,Auto,$1T,USA,150,2013,2017,4,$150M,5,Series C ,$60M,2,"Islam, Delna",-,-,Fraud/scaling - $8M accounting fraud; $100M losses on 10K cars thequickreport,Fraud
Quirky,Crowdsourcing,$50B,USA,500,2009,2015,6,$185M,5,Series C ,$80M,1,Ben Kaufman,-,-,Gross margin collapse - 40% COGS vs 25% target; Chapter 7 fastcompany,Costs
Yik Yak,Social,$50B,USA,50,2013,2017,4,$74M,3,Series B ,$50M,2,"Droll, Butterfield",-,-,User harassment - 100K+ reports led to advertiser exodus graffersid,Harassment
Shyp,Logistics,$500B,USA,400,2013,2018,5,$62M,4,Series B ,$25M,1,Kevin Fang,-,-,Unit economics - $17/package cost vs $12 revenue graffersid,Economics
Rdio,Music,$50B,USA,200,2010,2015,5,$235M,5,Late ,$50M,2,"Friis, Aristar",-,-,Spotify competition - $200M cumulative losses; Chapter 11 fastcompany,Competition
Aereo,Media,$50B,USA,180,2012,2014,2,$133M,4,Series C ,$34M,1,Amir Toorab,-,-,Supreme Court ruling - 6-3 decision killed antenna service fastcompany,Legal
Clinkle,Payments,$500B,USA,100,2011,2016,5,$30M,2,Series A ,$25M,1,Sean Parker,-,-,Leadership chaos - 75% employee exodus after Sean Parker left tech,Leadership
