company_name,main_cause,main_cause_detailed,classification,own_thoughts,int_funding,txt_funding,active_years,market_size,total_founders,founders_left
WeWork,Bankruptcy,Chapter 11 bankruptcy - $19B lease obligations vs $4B revenue; 90% occupancy unsustainable forbes,B,hyper expansion,12900000000,$12.9B,13,$7B,2,Adam Neumann
Theranos,Fraud,Criminal fraud charges - Blood testing device never worked; SEC fined $500K britannica,A,Fraud,945000000,$945M,15,$39B,1,-
Quibi,No users,Criminal fraud charges - Blood testing device never worked; SEC fined $500K britannica,A,fraud,1750000000,$1.75B,2,$50B,2,-
Jawbone,Debt,Debt default - Missed $22M interest payment on $125M convertible debt wikipedia,B,weak financial planning,930000000,$930M,18,$50B,1,-
FTX,Fraud,$8B customer fund shortfall - Bankruptcy revealed commingled funds with Alameda Research,B,fraud,1800000000,$1.8B,3,$32T,1,-
Zenefits,Regulation,SEC compliance violation - Sold insurance without licensed brokers; $500K fine,A,fraud,584000000,$584M,9,$200B,2,Parker Conrad
Katerra,Supply chain,Supply chain collapse - Missed $200M vendor payments; Chapter 11 marketrealist,C,weak stretigic planning,2000000000,$2B,6,$1T,2,-
Argo AI,Strategy,Ford/VW strategic pivot - Self-driving too expensive vs robotaxi economics marketrealist,C,weak stretegy + weak vision & planning,2600000000,$2.6B,6,$400B,2,-
Zume Pizza,Economics,Unit economics failure - $17/pizza robot cost vs $12 market price marketrealist,D,sharted the company without realising how much it will cost,482000000,$482M,5,$100B,1,-
Juicero,Product,Product viability failure - $700 juicer obsolete; bags squeeze by hand tech,D,did do market research weak founders planning no USP,120000000,$120M,4,$10B,1,-
MoviePass,Cash burn,$1.5B losses on $10/month subs - Helium parent company bankruptcy tech,B,,68000000,$68M,8,$50B,2,-
Homejoy,Lawsuits,"Class-action lawsuits - 5,056 cleaner lawsuits for employee misclassification tech",A,,40000000,$40M,5,$200B,1,-
Beepi,Fraud,Fraud/scaling - $8M accounting fraud; $100M losses on 10K cars thequickreport,A,,150000000,$150M,4,$1T,2,-
Quirky,Costs,Gross margin collapse - 40% COGS vs 25% target; Chapter 7 fastcompany,D,why start a company without knowing unit economics,185000000,$185M,6,$50B,1,-
Yik Yak,Harassment,User harassment - 100K+ reports led to advertiser exodus graffersid,A,,74000000,$74M,4,$50B,2,-
Shyp,Economics,Unit economics - $17/package cost vs $12 revenue graffersid,D,WHY START A COMPANY WITHOUT UE,62000000,$62M,5,$500B,1,-
Rdio,Competition,Spotify competition - $200M cumulative losses; Chapter 11 fastcompany,C,no market research no USP,235000000,$235M,5,$50B,2,-
Aereo,Legal,Supreme Court ruling - 6-3 decision killed antenna service fastcompany,A,illigal,133000000,$133M,2,$50B,1,-
Clinkle,Leadership,Leadership chaos - 75% employee exodus after Sean Parker left tech,A-C,bad decision making and lack of stretegy a startup should be bigger than the founder,30000000,$30M,5,$500B,1,-
Sprig,Competition,Postmates/Uber competition - 70% cost reduction forced shutdown tech,D,Dont start a company without usp and market research,56000000,$56M,4,$100B,1,-
Fab.com,Pivot,Pivot failure - Furniture pivot lost design customers alltopstartups,C,,336000000,$336M,7,$200B,2,-
Better Place,Battery,"Battery switching failure - 1,000 stations, 900 cars sold",C,,850000000,$850M,6,$10B,1,-
Solyndra,Prices,Chinese solar price crash - Polysilicon prices fell 90% thequickreport,*,,1200000000,$1.2B,6,$100B,3,-
Webvan,Logistics,Logistics burn - $1M/day losses; 28 warehouses unprofitable alltopstartups,C,,830000000,$830M,5,$100B,2,-
Pets.com,Marketing,"Super Bowl ad disaster - $11M sock puppet campaign, $11M revenue alltopstartups",A-C,,300000000,$300M,2,$20B,1,-
Luckin Coffee,Fraud,$310M revenue fraud - Fabricated 39M transactions thequickreport,A,,500000000,$500M+,3,$50B,2,-
Greensill,Insurance,Credit insurance cancellation - $4.6B Greensill Capital exposure,A,,1700000000,$1.7B,10,$10T,1,-
Outcome Health,Fraud,Ad fraud - 85% screen installation lies; $200M settlement,A,,487000000,$487M,9,$50B,2,-
Arrivo,Funding,Hyperloop One funding cut - Strategic pivot to tunnels graffersid,C,,1000000000,$1B,3,$1T,1,-
IRL,Privacy,Apple privacy changes - IDFA loss killed event targeting marketrealist,A-C,,200000000,$200M,5,$50B,2,-
Freshly,Acquired,Nestle acquisition - $1.25B buyout ended independence marketrealist,*,,250000000,$250M,10,$50B,1,-
CommonBond,COVID,COVID student loan pause - 90% revenue from originations marketrealist,*,,500000000,$500M,9,$500B,2,-
Goldfinch Bio,Clinical,Phase 2 trial failure - GFB-887 kidney drug missed endpoints marketrealist,A,,160000000,$160M,7,$100B,2,-
Airlift,Funding,Pakistan funding winter - VC capital evaporated post-COVID marketrealist,C,,85000000,$85M,3,$50B,2,-
Reali,Rates,Fed rate hikes - Mortgage originations collapsed 80% marketrealist,C,,370000000,$370M,7,$1T,2,-
Amp'd Mobile,Debt,Prepaid phone debt - Missed $7M vendor payments alltopstartups,B-C,,360000000,$360M,3,$50B,1,-
Kozmo.com,Delivery,Free delivery burn - $100M losses on $2 delivery fees alltopstartups,C-B,,280000000,$280M,3,$100B,1,-
